"","Player","Type_of_goal","Home","Away","Time_of_Evidence","Team","Goal_Time","Penalnty","owngoal"
"340","ΑΚΡΙΤΙΔΗΣ ΧΡΗΣΤΟΣ","","0","1","26'","ΠΑΓΚΡΑΤΙ",26,0,0
"145","ΣΤΕΡΓΙΟΠΟΥΛΟΣ ΚΑΝΤΙΩ ΧΡΙΣΤΟΣ","","0","2","44'","ΠΑΓΚΡΑΤΙ",44,0,0
"244","ΚΑΤΗΦΟΡΗΣ ΕΥΣΤΑΘΙΟΣ","","1","2","48'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",48,0,0
"427","None",NA,"0","0","0","None",0,0,0
"146","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","1","0","52'","ΙΑΣΩΝ",52,0,0
"245","ΓΚΟΓΚΑΣ ΠΑΝΑΓΙΩΤΗΣ","","2","0","67'","ΙΑΣΩΝ",67,0,0
"341","ΜΠΡΑΒΟΣ ΝΙΚΟΛΑΟΣ","","3","0","69'","ΙΑΣΩΝ",69,0,0
"428","None",NA,"0","0","0","None",0,0,0
"147","ΓΚΙΡΛΕΜΗΣ ΑΓΑΘΑΓΓΕΛΟΣ","","0","1","20'","ΠΑΝΘΗΣΕΙΑΚΟΣ",20,0,0
"246","ΜΠΟΥΝΤΟ ΚΟΥΤΜΠΙ","","0","2","28'","ΠΑΝΘΗΣΕΙΑΚΟΣ",28,0,0
"342","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","0","3","35'","ΠΑΝΘΗΣΕΙΑΚΟΣ",35,0,0
"517","None",NA,"0","0","0","None",0,0,0
"148","ΚΟΛΟΒΟΣ ΝΙΚΟΛΑΟΣ","","1","0","38'","ΓΚΥΖΙΑΚΟΣ",38,0,0
"247","ΦΙΛΟΣ ΦΙΛΙΠΠΟΣ","","2","0","44'","ΓΚΥΖΙΑΚΟΣ",44,0,0
"343","ΦΙΛΟΣ ΦΙΛΙΠΠΟΣ","","3","0","48'","ΓΚΥΖΙΑΚΟΣ",48,0,0
"429","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","4","0","78'","ΓΚΥΖΙΑΚΟΣ",78,0,0
"430","None",NA,"0","0","0","None",0,0,0
"149","ΚΑΡΑΒΕΖΥΡΗΣ ΑΛΕΞΑΝΔΡΟΣ","","0","1","5'","ΚΟΥΚΑΚΙ",5,0,0
"248","ΑΝΔΡΕΟΥ ΠΑΝΑΓΙΩΤΗΣ","","0","2","42'","ΚΟΥΚΑΚΙ",42,0,0
"344","ΑΝΔΡΕΟΥ ΠΑΝΑΓΙΩΤΗΣ","","0","3","80'","ΚΟΥΚΑΚΙ",80,0,0
"249","None",NA,"0","0","0","None",0,0,0
"150","ΒΑΛΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","1","0","78'","ΚΟΥΚΑΚΙ",78,0,0
"69","None",NA,"0","0","0","None",0,0,0
"431","ΜΑΥΡΙΔΗΣ ΑΓΓΕΛΟΣ","","0","1","7'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",7,0,0
"345","ΤΑΣΗΣ ΜΙΧΑΗΛ","","1","1","14'","ΑΟ ΓΛΥΦΑΔΑΣ",14,0,0
"250","ΜΑΥΡΙΔΗΣ ΑΓΓΕΛΟΣ","(πέναλτυ)","1","2","24'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",24,1,0
"151","ΧΥΚΑ ΚΩΝΣΤΑΝΤΙΝΟ","","2","2","27'","ΑΟ ΓΛΥΦΑΔΑΣ",27,0,0
"518","ΜΑΥΡΙΔΗΣ ΑΓΓΕΛΟΣ","","2","3","87'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",87,0,0
"251","None",NA,"0","0","0","None",0,0,0
"152","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","1","0","49'","ΠΑΝΘΗΣΕΙΑΚΟΣ",49,0,0
"346","None",NA,"0","0","0","None",0,0,0
"153","ΠΕΡΑΜΕΡΙΤΗΣ ΙΩΑΝΝΗΣ","(πέναλτυ)","0","1","56'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",56,1,0
"252","ΚΑΡΑΪ ΑΝΤΡΙΑΝ","","0","2","83'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",83,0,0
